Date,ProductId,Product,Product_Type,Product_Category,Sales,Profit,Margin,COGS,Total_Expenses,Marketing,Inventory,Budget_Profit,Budget_COGS,Budget_Margin,Budget_Sales,Area_Code,State,Market,Market_Size
01-01-2010,1,Amaretto,Coffee,Regular,219,94,130,89,36,24,777,100,90,130,220,719,Colorado,Central,Major Market
01-01-2010,2,Columbian,Coffee,Regular,190,68,107,83,39,27,623,80,80,110,190,970,Colorado,Central,Major Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,234,101,139,95,38,26,821,110,100,140,240,970,Colorado,Central,Major Market
01-01-2010,13,Green Tea,Tea,Regular,100,30,56,44,26,14,623,30,30,50,80,303,Colorado,Central,Major Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,134,54,80,54,26,15,456,70,60,90,150,303,Colorado,Central,Major Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,180,53,108,72,55,23,558,80,80,130,210,720,Colorado,Central,Major Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,341,99,171,170,72,47,1091,110,140,160,300,970,Colorado,Central,Major Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,150,0,87,63,87,57,435,20,50,80,130,719,Colorado,Central,Major Market
01-01-2010,10,Mint,Herbal Tea,Decaf,140,33,80,60,47,19,336,40,50,70,120,970,Colorado,Central,Major Market
01-01-2010,11,Darjeeling,Tea,Regular,130,17,72,58,55,22,338,20,40,70,110,719,Colorado,Central,Major Market
01-01-2010,12,Earl Grey,Tea,Regular,140,36,76,64,40,19,965,40,50,70,120,303,Colorado,Central,Major Market
01-01-2010,2,Columbian,Coffee,Regular,345,111,201,144,90,47,862,130,150,210,360,217,Illinois,Central,Major Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,234,87,139,95,52,30,608,100,100,140,240,309,Illinois,Central,Major Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,546,203,312,234,109,77,1310,260,270,370,640,309,Illinois,Central,Major Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,456,140,228,228,88,63,1459,180,260,270,530,630,Illinois,Central,Major Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,219,95,130,89,35,24,777,100,70,120,190,312,Illinois,Central,Major Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,190,68,107,83,39,27,623,60,70,90,160,630,Illinois,Central,Major Market
01-01-2010,10,Mint,Herbal Tea,Decaf,234,101,139,95,38,26,821,100,80,120,200,773,Illinois,Central,Major Market
01-01-2010,11,Darjeeling,Tea,Regular,134,53,80,54,27,15,456,50,40,70,110,217,Illinois,Central,Major Market
01-01-2010,12,Earl Grey,Tea,Regular,180,54,108,72,54,23,558,40,60,90,150,708,Illinois,Central,Major Market
01-01-2010,1,Amaretto,Coffee,Regular,45,11,27,18,16,5,821,20,10,30,40,319,Iowa,Central,Small Market
01-01-2010,2,Columbian,Coffee,Regular,62,5,34,28,29,8,965,20,20,40,60,641,Iowa,Central,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,54,12,31,23,19,7,623,20,20,30,50,712,Iowa,Central,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,43,11,26,17,15,4,777,30,10,40,50,563,Iowa,Central,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,43,10,26,17,16,4,777,30,10,40,50,563,Iowa,Central,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,546,202,312,234,110,77,1310,200,200,280,480,641,Iowa,Central,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,234,86,139,95,53,30,608,90,80,120,200,563,Iowa,Central,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,456,141,228,228,87,63,1459,140,190,210,400,712,Iowa,Central,Small Market
01-01-2010,12,Earl Grey,Tea,Regular,546,175,301,245,126,93,1419,160,210,270,480,319,Iowa,Central,Small Market
01-01-2010,2,Columbian,Coffee,Regular,190,39,105,85,66,32,494,40,90,100,190,636,Missouri,Central,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,170,47,92,78,45,24,965,50,80,90,170,573,Missouri,Central,Small Market
01-01-2010,13,Green Tea,Tea,Regular,76,-4,42,34,46,12,197,0,20,40,60,417,Missouri,Central,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,123,48,73,50,25,14,821,70,50,90,140,573,Missouri,Central,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,114,45,68,46,23,12,777,60,50,80,130,660,Missouri,Central,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,90,-11,53,37,64,34,261,0,30,40,70,573,Missouri,Central,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,99,-39,11,88,50,27,525,-20,70,10,80,314,Missouri,Central,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,82,9,47,35,38,11,196,10,30,40,70,314,Missouri,Central,Small Market
01-01-2010,12,Earl Grey,Tea,Regular,65,-9,36,29,45,11,169,-10,20,30,50,573,Missouri,Central,Small Market
01-01-2010,1,Amaretto,Coffee,Regular,140,34,80,60,46,19,336,50,60,80,140,740,Ohio,Central,Major Market
01-01-2010,2,Columbian,Coffee,Regular,140,42,83,57,41,18,364,50,60,80,140,614,Ohio,Central,Major Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,150,0,87,63,87,57,435,20,60,90,150,614,Ohio,Central,Major Market
01-01-2010,12,Earl Grey,Tea,Regular,200,67,116,84,49,26,500,60,70,100,170,216,Ohio,Central,Major Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,130,16,72,58,56,22,338,40,60,90,150,614,Ohio,Central,Major Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,341,99,171,170,72,47,1091,140,190,210,400,614,Ohio,Central,Major Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,80,29,48,32,19,8,456,50,20,50,70,937,Ohio,Central,Major Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,80,29,48,32,19,8,821,50,20,50,70,740,Ohio,Central,Major Market
01-01-2010,11,Darjeeling,Tea,Regular,210,68,126,84,58,27,651,60,70,110,180,567,Ohio,Central,Major Market
01-01-2010,1,Amaretto,Coffee,Regular,120,13,66,54,53,20,312,30,50,70,120,262,Wisconsin,Central,Small Market
01-01-2010,2,Columbian,Coffee,Regular,190,9,111,79,102,72,551,20,80,110,190,262,Wisconsin,Central,Small Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,180,51,103,77,52,25,432,60,80,100,180,414,Wisconsin,Central,Small Market
01-01-2010,12,Earl Grey,Tea,Regular,180,7,105,75,98,68,522,10,60,90,150,262,Wisconsin,Central,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,110,34,62,48,28,15,623,50,50,70,120,262,Wisconsin,Central,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,150,38,81,69,43,21,965,50,80,90,170,414,Wisconsin,Central,Small Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,180,70,113,67,43,20,400,80,50,100,150,715,Wisconsin,Central,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,81,28,48,33,20,9,777,50,20,50,70,715,Wisconsin,Central,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,150,47,89,61,42,19,390,50,50,80,130,608,Wisconsin,Central,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,123,47,73,50,26,14,821,60,50,80,130,475,Connecticut,East,Small Market
01-01-2010,13,Green Tea,Tea,Regular,94,35,56,38,21,10,777,40,40,60,100,475,Connecticut,East,Small Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,130,30,75,55,45,18,312,40,50,70,120,475,Connecticut,East,Small Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,180,7,105,75,98,68,522,20,70,100,170,860,Connecticut,East,Small Market
01-01-2010,2,Columbian,Coffee,Regular,310,115,186,124,71,40,961,130,110,180,290,475,Connecticut,East,Small Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,190,40,105,85,65,32,494,40,60,80,140,860,Connecticut,East,Small Market
01-01-2010,10,Mint,Herbal Tea,Decaf,170,47,92,78,45,24,965,50,50,80,130,475,Connecticut,East,Small Market
01-01-2010,11,Darjeeling,Tea,Regular,80,28,48,32,20,8,821,40,30,50,80,954,Florida,East,Major Market
01-01-2010,13,Green Tea,Tea,Regular,81,28,48,33,20,9,777,40,30,50,80,754,Florida,East,Major Market
01-01-2010,6,Decaf Espresso,Espresso,Decaf,180,50,103,77,53,25,432,60,70,100,170,754,Florida,East,Major Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,190,9,111,79,102,72,551,30,70,110,180,239,Florida,East,Major Market
01-01-2010,3,Decaf Irish Cream,Coffee,Decaf,200,67,116,84,49,26,500,70,80,110,190,754,Florida,East,Major Market
01-01-2010,2,Columbian,Coffee,Regular,210,68,126,84,58,27,651,70,80,110,190,954,Florida,East,Major Market
01-01-2010,8,Chamomile,Herbal Tea,Decaf,110,34,62,48,28,15,623,30,30,50,80,863,Florida,East,Major Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,120,13,66,54,53,20,312,20,40,50,90,239,Florida,East,Major Market
01-01-2010,10,Mint,Herbal Tea,Decaf,150,39,81,69,42,21,965,40,50,60,110,772,Florida,East,Major Market
01-01-2010,11,Darjeeling,Tea,Regular,80,29,48,32,19,8,821,40,30,50,80,508,Massachusetts,East,Major Market
01-01-2010,13,Green Tea,Tea,Regular,80,29,48,32,19,8,456,40,30,50,80,781,Massachusetts,East,Major Market
01-01-2010,7,Regular Espresso,Espresso,Regular,341,100,171,170,71,47,1091,110,160,170,330,978,Massachusetts,East,Major Market
01-01-2010,5,Caffe Mocha,Espresso,Regular,126,-23,63,63,86,57,435,-10,60,60,120,781,Massachusetts,East,Major Market
01-01-2010,2,Columbian,Coffee,Regular,494,367,422,72,55,23,558,360,60,400,460,413,Massachusetts,East,Major Market
01-01-2010,9,Lemon,Herbal Tea,Decaf,130,17,72,58,55,22,338,30,40,60,100,339,Massachusetts,East,Major Market
